rooms,area_sqm,build_year,resale_price
4,106,1993,375000
4,106,1996,380000
4,123,1992,412888
4,113,1998,420000
4,108,1993,420000
4,123,1992,425000
4,106,1993,443000
5,123,2000,380000
5,110,2002,385000
5,110,2003,390000
5,110,2002,400000
5,126,1995,400000
5,124,1995,408000
5,110,2003,418000
5,120,1999,430000
5,123,1993,435000
5,121,1997,500000
5,131,1996,522000
3,68,1981,263800
3,68,1981,270000
3,67,1980,280000
3,67,1979,290000
3,68,1981,326000
3,67,1979,335000
3,67,1984,345000
3,67,1979,348000
3,67,1978,355000
3,67,1978,365000
3,82,1980,368000
3,67,1979,370000
3,82,1978,415000
3,82,1981,425000
3,82,1980,430000
3,70,2013,528000
4,93,1980,385000
4,92,1981,397000
4,91,1980,425000
4,103,1983,440000
4,91,1981,461000
4,92,1979,488000
4,97,1978,548000
4,91,1978,552000
4,92,1979,575000
4,90,2006,620000
5,118,1981,560000
5,118,1981,618000
2,42,1971,205000
2,42,1971,215000
2,46,1973,220000
3,60,1967,230000
3,60,1967,235000
3,56,1969,238000
3,61,1969,255000
3,64,1968,256000
3,59,1972,260000
3,60,1967,262000
3,59,1967,263000
3,55,1969,269000
3,57,1973,272000
3,59,1977,275000
3,61,1969,280000
3,64,2000,320000
3,65,1976,328000
3,56,1969,330000
3,72,1971,338000
3,65,1976,368000
3,74,1983,390000
3,60,2007,459888
4,84,1985,355000
4,109,1990,420000
4,91,1985,455000
4,104,1990,485000
4,110,1996,512500
4,91,1982,515000
4,92,1976,566000
5,123,1986,680000
5,142,1984,770000
5,120,1998,830000
2,47,2012,252000
3,73,1978,260000
3,60,1987,268000
3,67,1978,269000
3,67,1984,270000
3,60,1985,275000
3,69,1985,280000
3,68,1983,285000
3,64,1986,290000
3,64,1986,290000
3,64,1986,292000
3,67,1983,292000
3,73,1978,305000
3,67,1983,308000
3,67,1983,309888
3,67,1984,316500
4,98,1985,320000
4,85,1989,335000
4,93,1993,338000
4,91,1985,350000
4,93,1983,353000
4,84,1985,357000
4,91,1985,358000
4,104,1987,360000
4,92,1997,380000
4,104,1983,390000
4,104,1985,390000
4,105,1989,398000
4,101,1998,403000
4,103,1991,418000
4,100,1998,420000
4,96,1984,420000
4,105,1990,430000
4,104,1986,430000
4,91,1986,431000
4,113,1990,433000
4,108,1984,438000
4,103,1992,442500
4,105,1992,457000
4,104,1992,510000
5,120,1998,402800
5,121,1997,420000
5,116,1999,420000
5,120,1998,420000
5,110,2004,425000
5,110,2003,450000
5,118,1997,450000
5,121,1998,450000
5,122,1998,455000
5,117,1997,459888
5,120,1998,465000
5,120,1997,470000
5,122,1986,480000
5,115,1999,481000
5,120,1998,485000
5,128,1992,495000
5,120,1998,520000
5,140,1984,585000
5,124,1992,605000
5,123,1999,633000
5,124,1992,675000
3,72,1979,250000
3,67,1966,250000
3,68,1983,257500
3,67,1986,260000
3,67,1981,265000
3,72,1979,270000
3,74,1983,290000
3,68,1983,290000
3,72,1979,295000
3,71,1985,300000
3,67,1983,302000
3,67,1985,308888
3,67,1981,313000
3,68,1983,330000
3,67,1983,330000
3,74,1983,336000
4,91,2003,362000
4,104,1984,390000
4,90,1981,395000
4,90,1998,398000
4,105,1985,420000
4,104,1983,426000
4,104,1984,450000
4,92,2013,450000
4,101,1998,470000
4,92,2013,475000
4,100,1999,490000
4,102,1999,507000
4,100,2000,520000
4,101,1998,470000
5,131,1984,450000
5,117,1979,518888
5,120,1981,525000
5,134,1984,538000
5,120,1984,625000
2,56,2008,240000
2,52,2008,258000
3,59,1975,240000
3,67,1972,240000
3,59,1978,245000
3,67,1971,245000
3,59,1978,251000
3,67,1972,265000
3,73,1988,268000
3,64,1985,269000
3,73,1989,275000
3,73,1988,275000
3,73,1989,275000
3,65,1976,279000
3,73,1988,280000
3,74,1983,290000
3,67,1983,295000
3,67,1983,305000
3,74,1984,310000
3,79,1984,315000
3,74,1984,320000
3,82,1982,355000
4,104,1990,310000
4,96,2001,330000
4,108,1996,338000
4,85,2002,340000
4,107,1995,340000
4,106,1996,342500
4,111,1990,343000
4,90,2001,345000
4,103,1989,345000
4,108,1996,346500
4,104,1989,348000
4,107,1993,350000
4,108,1996,350000
4,105,1989,350000
4,104,1990,352000
4,106,1993,355000
4,107,1996,355000
4,103,1985,360000
4,103,1989,360000
4,109,1993,362000
4,96,2001,365000
4,110,1996,368000
4,106,1984,368888
4,106,1985,375000
4,104,1990,378000
4,113,1995,380000
4,103,1985,380000
4,104,1990,382000
4,103,1984,388000
4,104,1985,392000
4,91,2001,398000
4,94,2008,400000
4,91,2002,410000
4,103,1997,413000
4,85,2002,415000
4,95,2000,418000
4,91,2000,420000
4,91,2002,422000
4,112,1995,423000
4,100,1998,428000
4,85,2002,428000
4,91,2000,429000
4,91,2001,432000
4,90,2000,433000
4,91,2000,433800
4,95,2001,435000
4,91,2000,435000
4,91,2000,438000
4,102,1984,440000
4,96,2000,445000
4,93,2006,446000
4,92,2010,470000
4,92,2010,470000
5,122,1988,350000
5,112,2003,362000
5,129,1988,400000
5,111,2001,410000
5,112,2003,410000
5,121,1990,415000
5,126,1993,428000
5,128,1993,428000
5,111,2002,435000
5,110,2008,436888
5,121,1976,458000
5,133,1984,460000
5,110,2008,460000
5,110,2008,466000
5,115,2001,470000
5,110,2001,470000
5,139,1993,478888
5,111,2002,480000
5,116,2001,480000
5,110,2002,500000
5,115,2001,500000
5,110,2001,504000
5,113,2001,505000
5,111,2000,550000
5,115,2000,615000
2,48,1970,276000
3,56,1970,225000
3,65,1973,276000
3,59,1976,286000
3,65,1974,292000
3,59,1976,320000
3,68,1979,330000
3,65,1974,333000
3,68,1972,335000
3,60,1969,338181
3,75,1981,340000
3,65,1974,342000
3,68,1979,360001
3,63,1986,370000
3,68,1982,372000
3,68,1979,378000
3,76,1975,380000
3,68,1979,395000
3,74,1983,406000
3,74,1984,410000
3,62,2004,425000
3,67,2012,495000
4,91,1974,405000
4,83,1987,430000
4,85,2004,460000
4,89,2012,610000
4,90,2006,636000
4,89,2012,686000
4,95,2004,688000
5,118,1984,599000
5,114,1976,628000
5,117,1974,628000
5,122,1998,680000
5,110,2004,730000
5,115,2011,858000
5,119,2011,1005000
3,65,1976,360000
3,76,1975,420000
4,88,1975,538000
4,87,1976,580000
3,66,1981,286000
4,105,1996,368000
4,105,1996,368000
4,104,1996,377000
4,103,1990,380000
4,104,1995,385000
4,104,1996,385000
4,103,1989,388000
4,105,1989,390000
4,104,1996,398000
4,103,1989,400000
4,103,1989,405000
4,113,1989,406000
4,108,1993,406000
4,104,1992,410000
4,106,1993,420000
4,108,1995,420000
4,111,1996,430000
4,105,1989,432000
4,108,1993,450000
5,124,1993,430000
5,123,1992,440000
5,120,1990,445000
5,126,1993,450000
5,126,1996,465000
5,127,1996,473000
5,127,1993,482000
5,125,1993,485000
5,121,1995,488000
5,123,1993,490000
5,121,1992,501000
5,128,1993,521000
5,131,1989,545000
4,85,2004,350000
4,91,2003,370000
4,91,2003,370000
4,90,2003,380000
4,92,2012,408000
4,90,2007,410000
4,92,2009,415000
4,97,2013,415000
4,90,2007,420000
4,93,2012,422800
4,92,2012,424000
4,91,2003,428000
4,93,2012,430000
4,93,2012,438000
4,93,2013,439988
4,93,2012,440000
4,97,2012,468000
4,94,2012,470000
4,93,2013,485000
4,93,2012,500000
4,97,2013,508000
4,99,2013,510000
4,98,2013,518000
4,98,2013,520000
4,99,2013,525000
4,93,2013,530000
4,97,2013,538000
4,93,2011,550000
4,97,2012,468000
4,94,2012,470000
5,110,2004,399000
5,110,2004,405000
5,111,2005,410000
5,112,2003,430000
5,114,2004,432000
5,110,2003,433000
5,110,2003,440888
5,112,2002,442000
5,110,2003,442000
5,110,2003,443000
5,110,2003,450000
5,110,2003,450000
5,110,2004,466000
5,110,2004,468000
5,114,2004,480000
5,114,2004,488000
5,113,2013,498888
5,110,2003,500000
5,118,2013,518888
5,110,2003,520000
5,118,2013,558000
5,116,2013,580000
5,114,2013,598000
5,113,2013,600000
5,115,2013,608000
5,113,2013,630000
5,110,2004,468000
3,60,1967,290000
3,60,1970,299800
3,67,1970,300000
3,60,1967,307000
3,60,1970,310000
3,60,1969,312000
3,60,1967,320000
3,67,1969,330000
3,60,1967,334888
3,60,1967,340000
3,65,1976,350000
3,65,1975,355000
3,60,1970,355000
3,65,1976,360000
3,65,1976,363000
3,59,1974,388000
3,69,1967,398000
4,82,1974,505000
4,85,2000,595000
4,88,1975,605000
4,88,1974,620000
4,92,2013,705000
4,90,2006,705000
4,103,1996,780000
5,117,1977,745000
5,119,1975,790000
5,111,2003,800000
5,110,2006,860000
4,86,2000,305000
4,100,1999,335000
4,100,1999,342000
4,91,2001,358000
4,96,2010,363000
4,102,2001,365000
4,90,2001,365000
4,96,2001,380000
4,95,2001,390000
4,101,1999,398000
5,110,2001,390000
5,121,1999,392000
5,116,1999,410000
5,110,2001,415000
5,110,2002,428000
5,120,1998,435000
5,110,2001,445000
5,110,2002,450000
5,110,2001,485000
2,50,2012,273000
3,69,2012,342000
3,67,2012,345000
3,67,2012,348000
3,68,2013,360000
3,68,2013,365000
4,90,2002,312000
4,90,1999,325000
4,85,2000,330000
4,85,2003,332000
4,90,2003,338000
4,85,2003,340000
4,89,1999,340000
4,90,2003,343000
4,85,2003,345000
4,85,2003,345000
4,101,1999,345000
4,100,1999,348000
4,90,2000,351000
4,93,2004,360000
4,85,2001,365000
4,101,1999,370000
4,90,2000,370000
4,102,1999,370000
4,91,2002,373000
4,92,2001,388000
4,93,2013,390000
4,93,2013,393888
4,101,1999,398000
4,90,2001,405000
4,92,2011,415000
4,102,1999,418000
4,101,1999,418000
4,94,2013,420000
4,93,2013,421000
4,95,2012,422000
4,92,2012,428000
4,91,2006,428888
4,94,2012,430000
4,93,2013,430000
4,95,2013,435000
4,98,2012,435000
4,96,2010,439888
4,96,2012,440000
4,100,2012,445000
4,95,2012,445000
4,93,2013,450000
4,95,2013,450000
4,93,2013,455000
4,92,2008,475000
4,90,2009,483000
4,90,2009,490000
4,93,2010,495000
4,90,2009,530000
4,90,2009,555000
5,110,2001,368000
5,112,2002,388000
5,110,2000,408000
5,110,2002,410000
5,110,2002,415000
5,115,2000,425000
5,123,1999,428000
5,110,2002,430000
5,115,2000,433000
5,110,2001,448000
5,110,2002,450000
5,113,2001,450000
5,114,2001,460000
5,110,2001,463000
5,110,2004,470000
5,121,1998,475000
5,121,1998,482000
5,110,2002,508000
5,113,2013,515000
3,67,1985,292000
3,73,1978,318000
3,67,1984,319000
3,64,1978,320000
3,73,1985,320000
3,67,1984,320000
3,73,1983,377000
4,93,1985,355000
4,83,1987,370000
4,91,1985,390000
4,99,1985,420000
4,95,1985,472000
4,105,1989,550000
4,109,1989,560000
4,103,1989,593000
4,109,1989,625000
2,45,2012,250000
3,60,1985,270000
3,68,1984,295000
3,69,1985,300000
3,64,1987,305000
3,64,1985,308000
3,67,1987,315000
3,75,1982,318500
3,67,1985,320000
3,74,1984,323000
3,74,1987,325000
3,83,1987,328000
3,73,1983,329000
3,74,1984,333000
3,74,1987,337000
3,73,1984,345000
3,79,1985,345000
3,83,1987,345000
3,73,1984,350000
3,73,1984,350000
3,75,1985,355000
3,65,2012,355000
4,84,1988,370000
4,100,1997,385000
4,104,1989,394000
4,100,1997,395000
4,84,1984,398000
4,109,1989,400000
4,107,1993,408000
4,104,1989,408000
4,103,1984,412000
4,105,1985,413888
4,105,1985,415000
4,89,1985,416800
4,91,1985,418000
4,107,1993,420000
4,105,1982,420000
4,100,1986,420000
4,104,1997,420000
4,106,1997,423000
4,84,1985,423000
4,99,1997,428000
4,104,1984,430000
4,89,1985,430000
4,102,1996,430000
4,107,1996,435000
4,103,1997,440000
4,103,1997,440288
4,103,1997,442000
4,104,1988,443000
4,103,1997,450000
4,104,1988,450000
4,105,1997,500000
4,103,1984,510000
5,128,1993,450000
5,133,1993,455000
5,120,1997,480000
5,121,1985,490000
5,120,1997,492000
5,127,1993,495000
5,122,1993,505000
5,121,1985,505000
5,125,1997,530000
5,122,1997,540000
5,122,1988,550000
5,119,1997,550000
5,120,1997,550000
5,131,1989,555000
5,120,1997,570000
5,122,1989,570000
5,121,1985,575000
5,122,1989,608000
5,109,2008,730000
5,114,2008,730000
2,43,1967,228500
3,66,1970,268000
3,64,1969,283000
3,65,1972,285000
3,66,1970,285000
3,66,1970,295000
3,67,1970,298000
3,67,1971,298000
3,67,1984,300000
3,65,1982,300000
3,67,1970,303000
3,65,1967,304000
3,65,1976,304000
3,65,1982,308000
3,68,1970,310000
3,67,1970,318000
3,68,1968,326500
3,74,1984,340000
3,74,1984,343000
3,67,1971,360000
3,74,1984,390000
4,103,1984,460000
4,91,2002,500000
4,103,1997,650000
4,101,2002,675888
4,91,2002,680000
4,91,2006,686000
4,75,2009,700000
4,91,2009,748000
5,117,1976,550000
5,115,2001,830000
5,122,1997,888000
3,67,1977,242000
3,73,1977,255000
3,65,1974,270000
3,72,1985,300000
4,91,1980,288000
4,91,1998,295000
4,90,2002,300000
4,84,1996,306000
4,91,1980,323000
4,84,1996,323000
4,104,1982,330000
4,91,1987,330000
4,84,1993,331000
4,102,1997,333000
4,92,1985,333888
4,102,1996,335000
4,106,1996,335000
4,103,1993,335000
4,91,2000,339000
4,84,1989,340000
4,100,1998,343000
4,91,2000,345000
4,91,1987,345000
4,106,1996,345000
4,90,1999,350000
4,103,2000,350000
4,102,1999,350000
4,101,1998,355000
4,90,2001,358000
4,101,2000,360000
4,91,2001,360000
4,101,1997,360000
4,98,1985,360000
4,101,1996,362000
4,102,1998,365000
4,99,1997,369000
4,104,1993,369800
4,101,1997,378000
4,100,1996,378000
4,99,1997,380000
4,101,1997,388888
4,102,2000,400000
4,105,1996,410000
4,101,1998,410000
4,105,1996,418000
4,107,1999,420000
4,107,1999,428000
4,107,1999,429000
5,115,1977,355000
5,120,1997,375000
5,119,1996,390000
5,111,2001,390000
5,120,2000,390000
5,125,1985,395000
5,122,1997,395000
5,114,2003,400000
5,138,1996,400000
5,115,2000,410000
5,119,1997,410000
5,125,2000,418000
5,123,1998,420000
5,110,2000,422000
5,122,1998,430000
5,123,1989,430000
5,119,1997,433000
5,123,1998,435000
5,121,1998,440000
5,129,2000,442888
5,124,1998,443000
5,115,2000,445000
5,115,2000,445000
5,117,2000,448000
5,121,1997,451000
5,121,2000,455000
5,122,1997,465000
5,125,1999,480000
5,121,1989,487999
2,47,2012,235000
3,64,1987,250000
3,64,1987,250000
3,64,1992,264888
3,67,1984,265000
3,64,1992,265000
3,64,1987,270000
3,74,1986,272000
3,64,1987,281000
3,74,1983,285000
3,67,1985,290000
3,74,1989,291000
3,67,1985,295000
3,82,1984,296888
3,81,1982,300000
3,73,1988,300000
3,60,1999,300000
3,68,1985,300000
3,67,1986,310000
3,74,1989,314000
3,67,2013,315000
3,67,2013,317000
3,68,1985,322888
3,74,1988,333000
4,83,1987,300000
4,84,1987,300000
4,84,1988,305000
4,84,1987,310000
4,84,1985,315000
4,84,1985,315000
4,104,1988,318000
4,84,1987,322000
4,84,1988,325000
4,91,1992,330000
4,104,1988,350000
4,91,1992,355000
4,84,1987,355000
4,104,1988,356000
4,91,1985,358000
4,105,1995,361888
4,93,1985,365000
4,104,1986,375000
4,92,2012,378000
4,105,1989,380000
4,84,1985,385000
4,104,1988,398000
4,93,1984,400000
4,92,2012,400000
4,103,1988,400000
4,104,1988,400000
4,93,1985,403000
4,105,1988,406000
4,93,2013,410000
4,96,2012,416000
5,121,1985,380000
5,122,1987,390000
5,121,1987,435000
5,131,1987,445000
5,121,1985,455000
5,123,1993,470888
5,121,1987,475000
5,122,1988,478888
5,141,1992,495000
5,122,1987,535000
2,44,1977,233000
2,44,1980,238000
2,44,1977,245000
3,68,1981,253000
3,67,1980,270000
3,67,1980,276000
3,67,1977,285000
3,73,1979,290000
3,67,1978,295000
3,68,1985,300000
3,68,1980,312000
3,67,1980,313000
3,68,1980,315000
3,73,1977,315000
3,67,1978,315000
3,67,1978,316000
3,67,1978,320000
3,67,1979,320000
3,74,1978,333000
3,68,1981,350000
3,73,1978,355000
3,73,1978,356000
3,73,1979,380000
3,70,2012,405000
3,88,1977,448000
3,70,2012,495000
4,92,1981,400000
4,93,1985,415000
4,98,1979,423000
4,97,1977,428000
4,92,1981,428888
4,102,1993,459000
4,93,1980,485000
4,92,1978,490000
4,95,2001,530000
4,91,2002,580000
4,91,2003,632000
4,90,2003,658000
5,120,1980,620000
5,119,1980,672000
5,138,1994,788888
2,45,1985,245000
2,45,1986,246000
3,60,1986,260000
3,67,1977,265000
3,59,1978,270000
3,65,1976,275000
3,60,1985,285000
3,68,1980,285000
